Sample_ID,Category,Bins,Contig_ID,Matched_Species,Abbreviated_Gene_Name,Counts,Protein Accession,ARO_ID,Percentage of identical matches, Alignment length,Number of mismatches,Number of gap openings,Start of alignment in query,End of alignment in query,Start of alignment in subject, End of alignment in subject,Expected value,Bit score,CVTERM ID,Model Sequence ID,Model ID,ARO_Name,DNA Accession,AMR Gene Family,Drug/Antibiotics_Class,Resistance Mechanism,,,,
SRR1748579,Public_transport,SRR1748579_bin.5,xx32,Klebsiella huaxiensis (taxid 2153354),Ecol_gyrB_AMU,1,BAE77595.1,ARO:3003303,95.1,804,39,0,63768,61357,1,804,0,1524,39887,2063,111,Escherichia coli gyrB conferring resistance to aminocoumarin,AP009048.1,aminocoumarin resistant gyrB,aminocoumarin antibiotic,antibiotic target alteration,,,,
SRR1748573,Public_transport,SRR1748573_bin.3,xx179,Pseudomonas mendocina S5.2 (taxid 1225174),rsmA,2,AAC16242.1,ARO:3005069,95.1,61,3,0,19666,19484,1,61,1.3E-30,114,43273,6102,3807,rsmA,AF061757.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic,antibiotic efflux,,,,
SRR1748572,Public_transport,SRR1748572_bin.4,xx239,Pseudomonas mendocina S5.2 (taxid 1225174),rsmA,1,AAC16242.1,ARO:3005069,95.1,61,3,0,5657,5839,1,61,6.62E-31,114,43273,6102,3807,rsmA,AF061757.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic,antibiotic efflux,,,,
SRR1748548,Public_transport,SRR1748548_bin.1,xx7,Moraxella osloensis (taxid 34062),ICR-Mo,1,WP_082741435.1,ARO:3004569,95.1,573,13,1,55552,53834,1,558,0,1079,42477,5132,3271,ICR-Mo,NZ_CP014234.1,intrinsic colistin resistant phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,,,,
SRR1748547,Public_transport,SRR1748547_bin.1,xx5,Moraxella osloensis (taxid 34062),ICR-Mo,1,WP_082741435.1,ARO:3004569,95.1,573,13,1,56612,54894,1,558,0,1079,42477,5132,3271,ICR-Mo,NZ_CP014234.1,intrinsic colistin resistant phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,,,,
SRR1748634,Public_transport,SRR1748634_bin.2,xx16,Enterobacter hormaechei subsp. xiangfangensis (taxid 1296536),Ecol_fabI_MULT,1,AAC74370.1,ARO:3004045,95,262,13,0,38384,39169,1,262,4.81E-159,492,41097,5254,2666,Escherichia coli fabI mutations conferring resistance to isoniazid and triclosan,U00096.3,antibiotic resistant fabI,disinfecting agents and antiseptics;isoniazid-like antibiotic,antibiotic target alteration,,,,
SRR1748596,Public_transport,SRR1748596_bin.2,xx61,Leclercia adecarboxylata (taxid 83655),cpxA,1,BAB38260.1,ARO:3000830,95,457,23,0,4081,2711,1,457,9E-283,855,37210,5407,152,cpxA,BA000007.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,,,,
SRR1748588,Public_transport,SRR1748588_bin.4,xx51,Enterobacter hormaechei subsp. xiangfangensis (taxid 1296536),Ecol_fabI_MULT,2,AAC74370.1,ARO:3004045,95,262,13,0,35460,36245,1,262,4.39E-159,492,41097,5254,2666,Escherichia coli fabI mutations conferring resistance to isoniazid and triclosan,U00096.3,antibiotic resistant fabI,disinfecting agents and antiseptics;isoniazid-like antibiotic,antibiotic target alteration,,,,
SRR1748579,Public_transport,SRR1748579_bin.5,xx87,Klebsiella huaxiensis (taxid 2153354),Ecol_UhpT_FOF,1,CDJ73208.1,ARO:3003890,95,463,23,0,36860,38248,1,463,2.29E-286,866,40592,3667,2373,Escherichia coli UhpT with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant UhpT,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR1748623,Public_transport,SRR1748623_bin.5,xx24,Leclercia adecarboxylata (taxid 83655),Sser_gyrB_FLO,1,AAL22694.1,ARO:3003307,94.9,804,41,0,57657,60068,1,804,0,1523,39891,5308,1696,Salmonella serovars gyrB conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant gyrB,aminocoumarin antibiotic;fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR1748603,Public_transport,SRR1748603_bin.4,xx4,Leclercia adecarboxylata (taxid 83655),Sser_gyrB_FLO,1,AAL22694.1,ARO:3003307,94.9,804,41,0,57662,60073,1,804,0,1523,39891,5308,1696,Salmonella serovars gyrB conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant gyrB,aminocoumarin antibiotic;fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR1748602,Public_transport,SRR1748602_bin.1,xx98,Leclercia adecarboxylata (taxid 83655),Sser_gyrB_FLO,1,AAL22694.1,ARO:3003307,94.9,804,41,0,4211,6622,1,804,0,1523,39891,5308,1696,Salmonella serovars gyrB conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant gyrB,aminocoumarin antibiotic;fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR1748580,Public_transport,SRR1748580_bin.2,xx32,Leclercia adecarboxylata (taxid 83655),Sser_gyrB_FLO,1,AAL22694.1,ARO:3003307,94.9,804,41,0,34600,32189,1,804,0,1523,39891,5308,1696,Salmonella serovars gyrB conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant gyrB,aminocoumarin antibiotic;fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR1748579,Public_transport,SRR1748579_bin.5,xx5,Klebsiella huaxiensis (taxid 2153354),Kpne_lamB_CZA,1,WAH47136.1,ARO:3007420,94.9,429,22,0,40439,41725,1,429,9.1E-280,847,46176,8640,5923,Klebsiella pneumoniae lamB with mutations conferring resistance to ceftazidime-avibactam,CP109607.1,Sugar Porin (SP),cephalosporin;fluoroquinolone antibiotic;tetracycline antibiotic,reduced permeability to antibiotic,,,,
SRR1748634,Public_transport,SRR1748634_bin.2,xx3,Enterobacter hormaechei subsp. xiangfangensis (taxid 1296536),msbA,1,AAC74000.1,ARO:3003950,94.8,582,30,0,352412,350667,1,582,0,1038,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR1748597,Public_transport,SRR1748597_bin.4,xx1,Enterobacter hormaechei subsp. steigerwaltii (taxid 299766),msbA,14,AAC74000.1,ARO:3003950,94.8,582,30,0,18391,20136,1,582,0,1038,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR1748588,Public_transport,SRR1748588_bin.4,xx10,Enterobacter hormaechei subsp. xiangfangensis (taxid 1296536),msbA,7,AAC74000.1,ARO:3003950,94.8,582,30,0,18345,20090,1,582,0,1038,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR1748562,Public_transport,SRR1748562_bin.4,xx7,Enterobacter hormaechei subsp. xiangfangensis (taxid 1296536),msbA,1,AAC74000.1,ARO:3003950,94.8,582,30,0,18344,20089,1,582,0,1036,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR1748629,Public_transport,SRR1748629_bin.1,xx524,Acinetobacter nosocomialis (taxid 106654),LpsB,1,QFQ03949.1,ARO:3005051,94.7,132,7,0,398,3,1,132,4.7E-76,250,43252,6088,3793,LpsB,CP045110.1,Intrinsic peptide antibiotic resistant Lps,peptide antibiotic,reduced permeability to antibiotic,,,,
SRR1748622,Public_transport,SRR1748622_bin.1,xx26,Pseudescherichia vulneris (taxid 566),Ecol_fabI_MULT,1,AAC74370.1,ARO:3004045,94.7,262,14,0,19341,20126,1,262,4.57E-157,486,41097,5254,2666,Escherichia coli fabI mutations conferring resistance to isoniazid and triclosan,U00096.3,antibiotic resistant fabI,disinfecting agents and antiseptics;isoniazid-like antibiotic,antibiotic target alteration,,,,
SRR1748617,Public_transport,SRR1748617_bin.2,xx19,Enterobacter ludwigii (taxid 299767),cpxA,1,BAB38260.1,ARO:3000830,94.7,457,24,0,48591,49961,1,457,4.06E-282,854,37210,5407,152,cpxA,BA000007.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,,,,
SRR1748617,Public_transport,SRR1748617_bin.2,xx22,Enterobacter ludwigii (taxid 299767),msbA,1,AAC74000.1,ARO:3003950,94.7,582,31,0,54538,52793,1,582,0,1046,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR1748606,Public_transport,SRR1748606_bin.2,xx9,Enterobacter kobei (taxid 208224),msbA,2,AAC74000.1,ARO:3003950,94.7,582,31,0,178996,177251,1,582,0,1039,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR1748588,Public_transport,SRR1748588_bin.4,xx38,Enterobacter hormaechei subsp. xiangfangensis (taxid 1296536),cpxA,2,BAB38260.1,ARO:3000830,94.7,457,24,0,57446,56076,1,457,1.3E-282,856,37210,5407,152,cpxA,BA000007.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,,,,
SRR1748577,Public_transport,SRR1748577_bin.1,xx44,Enterobacter hormaechei subsp. steigerwaltii (taxid 299766),Ecol_fabI_MULT,3,AAC74370.1,ARO:3004045,94.7,262,14,0,28790,28005,1,262,1.03E-158,491,41097,5254,2666,Escherichia coli fabI mutations conferring resistance to isoniazid and triclosan,U00096.3,antibiotic resistant fabI,disinfecting agents and antiseptics;isoniazid-like antibiotic,antibiotic target alteration,,,,
SRR1748562,Public_transport,SRR1748562_bin.4,xx16,Enterobacter hormaechei subsp. xiangfangensis (taxid 1296536),cpxA,1,BAB38260.1,ARO:3000830,94.7,457,24,0,61781,60411,1,457,1.27E-282,856,37210,5407,152,cpxA,BA000007.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,,,,
SRR1748536,Public_transport,SRR1748536_bin.9,xx26,Atlantibacter hermannii (taxid 565),Ecol_fabI_MULT,2,AAC74370.1,ARO:3004045,94.7,262,14,0,37340,36555,1,262,6.23E-158,488,41097,5254,2666,Escherichia coli fabI mutations conferring resistance to isoniazid and triclosan,U00096.3,antibiotic resistant fabI,disinfecting agents and antiseptics;isoniazid-like antibiotic,antibiotic target alteration,,,,
SRR1748622,Public_transport,SRR1748622_bin.1,xx111,Pseudescherichia vulneris (taxid 566),Kpne_PBP3_BLA,3,CDO16001.1,ARO:3007421,94.6,588,32,0,3062,1299,1,588,0,1101,46177,8643,5924,Klebsiella pneumoniae PBP3 mutants conferring resistance to ceftazidime-avibactam,FO834906.1,Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics,carbapenem;cephalosporin;cephamycin;monobactam;penam,antibiotic target alteration,,,,
SRR1748596,Public_transport,SRR1748596_bin.2,xx28,Leclercia sp. 29361 (taxid 2714951),Sser_gyrB_FLO,1,AAL22694.1,ARO:3003307,94.6,756,41,0,57504,59771,1,756,0,1429,39891,5308,1696,Salmonella serovars gyrB conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant gyrB,aminocoumarin antibiotic;fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR1748590,Public_transport,SRR1748590_bin.4,xx8,Acinetobacter proteolyticus (taxid 1776741),adeF,1,CAJ77856.1,ARO:3000777,94.6,1059,57,0,36253,39429,1,1059,0,1859,37157,6250,153,adeF,CT025801.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic;tetracycline antibiotic,antibiotic efflux,,,,
SRR6145098,Public_transport,SRR6145098_bin.3,xx144,Acinetobacter sp. Ac-14 (taxid 2781976),Abau_AmvA,1,ACQ82816.1,ARO:3004577,94.5,492,27,0,17645,19120,1,492,3.57E-287,868,42497,5144,3280,Acinetobacter baumannii AmvA,FJ911554.1,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;macrolide antibiotic,antibiotic efflux,,,,
SRR1748623,Public_transport,SRR1748623_bin.5,xx36,Leclercia adecarboxylata (taxid 83655),msbA,5,AAC74000.1,ARO:3003950,94.5,581,32,0,18303,20045,1,581,0,1041,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR1748610,Public_transport,SRR1748610_bin.1,xx501,Pantoea agglomerans (taxid 549),Ecol_cyaA_FOF,2,CDJ73082.1,ARO:3003900,94.5,55,3,0,167,3,1,55,2.32E-25,111,40602,4616,2379,Escherichia coli CyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR1748606,Public_transport,SRR1748606_bin.2,xx25,Enterobacter kobei (taxid 208224),cpxA,1,BAB38260.1,ARO:3000830,94.5,457,25,0,53621,52251,1,457,1.38E-281,853,37210,5407,152,cpxA,BA000007.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,,,,
SRR1748603,Public_transport,SRR1748603_bin.4,xx15,Leclercia adecarboxylata (taxid 83655),msbA,1,AAC74000.1,ARO:3003950,94.5,581,32,0,90490,88748,1,581,0,1041,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR1748602,Public_transport,SRR1748602_bin.1,xx210,Leclercia adecarboxylata (taxid 83655),msbA,3,AAC74000.1,ARO:3003950,94.5,581,32,0,2371,629,1,581,0,1041,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR1748601,Public_transport,SRR1748601_bin.7,xx211,Pseudescherichia vulneris (taxid 566),bacA,1,AAC76093.1,ARO:3002986,94.5,272,14,1,2485,3297,1,272,8.63E-162,498,39420,4677,1820,bacA,U00096.3,undecaprenyl pyrophosphate related proteins,peptide antibiotic,antibiotic target alteration,,,,
SRR1748597,Public_transport,SRR1748597_bin.4,xx24,Enterobacter hormaechei subsp. xiangfangensis (taxid 1296536),cpxA,1,BAB38260.1,ARO:3000830,94.5,457,25,0,63644,62274,1,457,3.73E-282,854,37210,5407,152,cpxA,BA000007.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,,,,
SRR1748596,Public_transport,SRR1748596_bin.2,xx5,Leclercia sp. 29361 (taxid 2714951),msbA,2,AAC74000.1,ARO:3003950,94.5,581,32,0,70529,68787,1,581,0,1041,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR1748588,Public_transport,SRR1748588_bin.8,xx72,Acinetobacter pittii PHEA-2 (taxid 871585),LpsB,1,QFQ03949.1,ARO:3005051,94.5,366,20,0,53191,54288,1,366,1.36E-228,696,43252,6088,3793,LpsB,CP045110.1,Intrinsic peptide antibiotic resistant Lps,peptide antibiotic,reduced permeability to antibiotic,,,,
SRR1748580,Public_transport,SRR1748580_bin.2,xx52,Leclercia adecarboxylata (taxid 83655),msbA,1,AAC74000.1,ARO:3003950,94.5,581,32,0,12473,14215,1,581,0,1041,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR1748577,Public_transport,SRR1748577_bin.1,xx20,Enterobacter hormaechei subsp. steigerwaltii (taxid 299766),cpxA,1,BAB38260.1,ARO:3000830,94.5,457,25,0,72325,70955,1,457,4.7E-282,854,37210,5407,152,cpxA,BA000007.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,,,,
SRR1748577,Public_transport,SRR1748577_bin.1,xx42,Enterobacter hormaechei subsp. xiangfangensis (taxid 1296536),msbA,6,AAC74000.1,ARO:3003950,94.5,582,32,0,18345,20090,1,582,0,1033,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR1748603,Public_transport,SRR1748603_bin.4,xx10,Leclercia adecarboxylata (taxid 83655),Kpne_PBP3_BLA,2,CDO16001.1,ARO:3007421,94.4,588,33,0,123858,122095,1,588,0,1101,46177,8643,5924,Klebsiella pneumoniae PBP3 mutants conferring resistance to ceftazidime-avibactam,FO834906.1,Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics,carbapenem;cephalosporin;cephamycin;monobactam;penam,antibiotic target alteration,,,,
SRR1748602,Public_transport,SRR1748602_bin.1,xx24,Leclercia adecarboxylata (taxid 83655),Ecol_GlpT_FOF,1,CDJ72593.1,ARO:3003889,94.4,288,16,0,866,3,1,288,4.5E-183,567,40588,4617,2372,Escherichia coli GlpT with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant GlpT,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR1748602,Public_transport,SRR1748602_bin.1,xx471,Leclercia adecarboxylata (taxid 83655),Kpne_PBP3_BLA,2,CDO16001.1,ARO:3007421,94.4,588,33,0,797,2560,1,588,0,1101,46177,8643,5924,Klebsiella pneumoniae PBP3 mutants conferring resistance to ceftazidime-avibactam,FO834906.1,Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics,carbapenem;cephalosporin;cephamycin;monobactam;penam,antibiotic target alteration,,,,
SRR1748641,Public_transport,SRR1748641_bin.1,xx233,Leclercia pneumoniae (taxid 2815358),msbA,1,AAC74000.1,ARO:3003950,94.3,581,33,0,2649,4391,1,581,0,1036,40720,5468,2423,msbA,U00096.3,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,,,,
SRR1748636,Public_transport,SRR1748636_bin.4,xx23,Klebsiella oxytoca (taxid 571),Sent_parC_FLO,1,AAL22048.1,ARO:3003939,94.3,752,43,0,45019,42764,1,752,0,1389,40662,5266,2410,Salmonella enterica parC conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR1748626,Public_transport,SRR1748626_bin.2,xx2,Klebsiella michiganensis E718 (taxid 1191061),Sent_parC_FLO,1,AAL22048.1,ARO:3003939,94.3,752,43,0,115212,112957,1,752,0,1389,40662,5266,2410,Salmonella enterica parC conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR1748623,Public_transport,SRR1748623_bin.5,xx99,Leclercia adecarboxylata (taxid 83655),cpxA,1,BAB38260.1,ARO:3000830,94.3,457,26,0,13805,12435,1,457,2.14E-280,849,37210,5407,152,cpxA,BA000007.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,,,,
SRR1748622,Public_transport,SRR1748622_bin.1,xx6,Pseudescherichia vulneris (taxid 566),cpxA,2,BAB38260.1,ARO:3000830,94.3,457,26,0,42595,43965,1,457,6.37E-281,851,37210,5407,152,cpxA,BA000007.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,,,,
SRR1748603,Public_transport,SRR1748603_bin.4,xx19,Leclercia adecarboxylata (taxid 83655),cpxA,1,BAB38260.1,ARO:3000830,94.3,457,26,0,40413,39043,1,457,4E-280,848,37210,5407,152,cpxA,BA000007.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,,,,
SRR1748602,Public_transport,SRR1748602_bin.1,xx137,Leclercia adecarboxylata (taxid 83655),cpxA,1,BAB38260.1,ARO:3000830,94.3,457,26,0,7229,5859,1,457,1.28E-286,848,37210,5407,152,cpxA,BA000007.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,,,,
SRR1748580,Public_transport,SRR1748580_bin.2,xx38,Leclercia adecarboxylata (taxid 83655),cpxA,1,BAB38260.1,ARO:3000830,94.3,457,26,0,58506,59876,1,457,5.39E-280,848,37210,5407,152,cpxA,BA000007.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,,,,
SRR1748579,Public_transport,SRR1748579_bin.5,xx15,Klebsiella huaxiensis (taxid 2153354),Sent_parC_FLO,1,AAL22048.1,ARO:3003939,94.3,752,43,0,66873,69128,1,752,0,1390,40662,5266,2410,Salmonella enterica parC conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR1748550,Public_transport,SRR1748550_bin.6,xx22,Atlantibacter hermannii (taxid 565),Sser_gyrB_FLO,2,AAL22694.1,ARO:3003307,94.3,804,46,0,77564,75153,1,804,0,1506,39891,5308,1696,Salmonella serovars gyrB conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant gyrB,aminocoumarin antibiotic;fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR1748580,Public_transport,SRR1748580_bin.2,xx30,Leclercia adecarboxylata (taxid 83655),Sent_gyrA_FLO,1,AAL21173.1,ARO:3003926,94.2,832,48,0,2498,3,1,832,0,1518,40635,5271,2403,Salmonella enterica gyrA conferring resistance to fluoroquinolones,AE006468.2,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
SRR1748634,Public_transport,SRR1748634_bin.2,xx49,Enterobacter hormaechei (taxid 158836),cpxA,1,BAB38260.1,ARO:3000830,94.1,68,4,0,23294,23091,390,457,5.1E-35,140,37210,5407,152,cpxA,BA000007.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,,,,
SRR1748623,Public_transport,SRR1748623_bin.5,xx124,Leclercia adecarboxylata (taxid 83655),Ecol_cyaA_FOF,1,CDJ73082.1,ARO:3003900,94.1,848,49,1,6380,8920,1,848,0,1631,40602,4616,2379,Escherichia coli CyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR1748603,Public_transport,SRR1748603_bin.4,xx32,Leclercia adecarboxylata (taxid 83655),Ecol_cyaA_FOF,1,CDJ73082.1,ARO:3003900,94.1,848,49,1,41928,39388,1,848,0,1631,40602,4616,2379,Escherichia coli CyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR1748602,Public_transport,SRR1748602_bin.1,xx40,Leclercia adecarboxylata (taxid 83655),Ecol_cyaA_FOF,1,CDJ73082.1,ARO:3003900,94.1,848,49,1,6927,4387,1,848,0,1631,40602,4616,2379,Escherichia coli CyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR1748596,Public_transport,SRR1748596_bin.2,xx21,Leclercia sp. 29361 (taxid 2714951),Ecol_cyaA_FOF,1,CDJ73082.1,ARO:3003900,94.1,848,49,1,46713,44173,1,848,0,1630,40602,4616,2379,Escherichia coli CyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR1748588,Public_transport,SRR1748588_bin.4,xx14,Enterobacter hormaechei subsp. xiangfangensis (taxid 1296536),Ecol_cyaA_FOF,3,CDJ73082.1,ARO:3003900,94.1,848,49,1,154917,157457,1,848,0,1632,40602,4616,2379,Escherichia coli CyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR1748588,Public_transport,SRR1748588_bin.4,xx80,Enterobacter hormaechei subsp. xiangfangensis (taxid 1296536),Ecol_soxR_MULT,3,AAC77033.1,ARO:3003381,94.1,152,9,0,46183,45728,1,152,3.97E-92,295,39965,2074,1005,Escherichia coli soxR with mutation conferring antibiotic resistance,U00096.1,ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic,antibiotic efflux;antibiotic target alteration,,,,
SRR1748562,Public_transport,SRR1748562_bin.4,xx6,Enterobacter hormaechei subsp. xiangfangensis (taxid 1296536),Ecol_cyaA_FOF,1,CDJ73082.1,ARO:3003900,94.1,848,49,1,159447,161987,1,848,0,1634,40602,4616,2379,Escherichia coli CyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR1748536,Public_transport,SRR1748536_bin.9,xx16,Atlantibacter hermannii (taxid 565),cpxA,1,BAB38260.1,ARO:3000830,94.1,457,27,0,55784,57154,1,457,1.54E-278,843,37210,5407,152,cpxA,BA000007.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,,,,
SRR1748634,Public_transport,SRR1748634_bin.2,xx25,Enterobacter hormaechei subsp. steigerwaltii (taxid 299766),Ecol_cyaA_FOF,1,CDJ73082.1,ARO:3003900,94,848,50,1,59641,57101,1,848,0,1629,40602,4616,2379,Escherichia coli CyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR1748617,Public_transport,SRR1748617_bin.2,xx14,Enterobacter ludwigii (taxid 299767),Ecol_murA_FOF,1,AIL15701.1,ARO:3003775,94,419,25,0,34333,35589,1,419,5.94E-251,763,40451,3548,2284,Escherichia coli murA with mutation conferring resistance to fosfomycin,CP009072.1,antibiotic-resistant murA transferase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR1748606,Public_transport,SRR1748606_bin.2,xx185,Enterobacter cloacae subsp. cloacae ATCC 13047 (taxid 716541),Ecol_murA_FOF,1,AIL15701.1,ARO:3003775,94,419,25,0,2806,1550,1,419,3.61E-252,764,40451,3548,2284,Escherichia coli murA with mutation conferring resistance to fosfomycin,CP009072.1,antibiotic-resistant murA transferase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR1748597,Public_transport,SRR1748597_bin.4,xx9,Enterobacter hormaechei subsp. xiangfangensis (taxid 1296536),Ecol_cyaA_FOF,3,CDJ73082.1,ARO:3003900,94,848,50,1,93721,96261,1,848,0,1630,40602,4616,2379,Escherichia coli CyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
